[2025-07-12T06:22:19.433+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-12T06:22:19.456+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: initialize_historical_data.initialize_historical_data manual__2025-07-12T06:22:18.861914+00:00 [queued]>
[2025-07-12T06:22:19.462+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: initialize_historical_data.initialize_historical_data manual__2025-07-12T06:22:18.861914+00:00 [queued]>
[2025-07-12T06:22:19.463+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-07-12T06:22:19.472+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): initialize_historical_data> on 2025-07-12 06:22:18.861914+00:00
[2025-07-12T06:22:19.479+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'initialize_historical_data', 'initialize_historical_data', 'manual__2025-07-12T06:22:18.861914+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/initialize_historical_data.py', '--cfg-path', '/tmp/tmp8ybfdfwk']
[2025-07-12T06:22:19.481+0000] {standard_task_runner.py:91} INFO - Job 19: Subtask initialize_historical_data
[2025-07-12T06:22:19.483+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=363) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-12T06:22:19.483+0000] {standard_task_runner.py:63} INFO - Started process 364 to run task
[2025-07-12T06:22:19.519+0000] {task_command.py:426} INFO - Running <TaskInstance: initialize_historical_data.initialize_historical_data manual__2025-07-12T06:22:18.861914+00:00 [running]> on host 397e8f811de3
[2025-07-12T06:22:19.586+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='initialize_historical_data' AIRFLOW_CTX_TASK_ID='initialize_historical_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-12T06:22:18.861914+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-12T06:22:18.861914+00:00'
[2025-07-12T06:22:19.586+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-12T06:22:19.598+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-07-12T06:22:19.599+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'docker exec -i crypto_data_collector python3 src/collection_admin/data/initialize_historical_data.py']
[2025-07-12T06:22:19.607+0000] {subprocess.py:86} INFO - Output:
[2025-07-12T06:22:19.991+0000] {subprocess.py:93} INFO - /opt/spark/bin/load-spark-env.sh: line 68: ps: command not found
[2025-07-12T06:22:21.202+0000] {subprocess.py:93} INFO - Setting default log level to "WARN".
[2025-07-12T06:22:21.202+0000] {subprocess.py:93} INFO - To adjust logging level use sc.setLogLevel(newLevel). For SparkR, use setLogLevel(newLevel).
[2025-07-12T06:22:21.425+0000] {subprocess.py:93} INFO - 25/07/12 06:22:21 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
[2025-07-12T06:22:36.932+0000] {subprocess.py:93} INFO - initialising BTCUSDT 15m data…
[2025-07-12T06:22:36.932+0000] {subprocess.py:93} INFO - fetched 17280 rows, saving to Mongo…
[2025-07-12T06:22:36.932+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe951 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.932+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe953 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.932+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe955 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.932+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe957 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.933+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe959 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.933+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe95b into cryptobot.historical_data_15m
[2025-07-12T06:22:36.933+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe95d into cryptobot.historical_data_15m
[2025-07-12T06:22:36.933+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe95f into cryptobot.historical_data_15m
[2025-07-12T06:22:36.933+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe961 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.933+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe963 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.933+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe965 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.933+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe967 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.933+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe969 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.933+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe96b into cryptobot.historical_data_15m
[2025-07-12T06:22:36.933+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe96d into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe96f into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe971 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe973 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe975 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe977 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe979 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe97b into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe97d into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe97f into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe981 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe983 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.934+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe985 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe987 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe989 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe98b into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe98d into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe98f into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe991 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe993 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe995 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe997 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe999 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe99b into cryptobot.historical_data_15m
[2025-07-12T06:22:36.935+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe99d into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe99f into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9a1 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9a3 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9a5 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9a7 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9a9 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9ab into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9ad into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9af into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9b1 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9b3 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9b5 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.936+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9b7 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9b9 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9bb into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9bd into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9bf into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9c1 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9c3 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9c5 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9c7 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9c9 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9cb into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9cd into cryptobot.historical_data_15m
[2025-07-12T06:22:36.937+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9cf into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9d1 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9d3 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9d5 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9d7 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9d9 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9db into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9dd into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9df into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9e1 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9e3 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9e5 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.938+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9e7 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9e9 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9eb into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9ed into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9ef into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9f1 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9f3 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9f5 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9f7 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9f9 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9fb into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9fd into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afe9ff into cryptobot.historical_data_15m
[2025-07-12T06:22:36.939+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea01 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.940+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea03 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.940+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea05 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.940+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea07 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.940+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea09 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.940+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea0b into cryptobot.historical_data_15m
[2025-07-12T06:22:36.940+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea0d into cryptobot.historical_data_15m
[2025-07-12T06:22:36.940+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea0f into cryptobot.historical_data_15m
[2025-07-12T06:22:36.940+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea11 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.940+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea13 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.940+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea15 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.941+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea17 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.941+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea19 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.941+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea1b into cryptobot.historical_data_15m
[2025-07-12T06:22:36.941+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea1d into cryptobot.historical_data_15m
[2025-07-12T06:22:36.941+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea1f into cryptobot.historical_data_15m
[2025-07-12T06:22:36.941+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea21 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.941+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea23 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.941+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea25 into cryptobot.historical_data_15m
[2025-07-12T06:22:36.941+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea27 into cryptobot.historical_data_15m
[2025-07-12T06:22:37.732+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea29 into cryptobot.historical_data_15m
[2025-07-12T06:22:37.733+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea2b into cryptobot.historical_data_15m
[2025-07-12T06:22:37.733+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea2d into cryptobot.historical_data_15m
[2025-07-12T06:22:37.733+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea2f into cryptobot.historical_data_15m
[2025-07-12T06:22:37.733+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea31 into cryptobot.historical_data_15m
[2025-07-12T06:22:37.733+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea33 into cryptobot.historical_data_15m
[2025-07-12T06:22:37.733+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea35 into cryptobot.historical_data_15m
[2025-07-12T06:22:37.733+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea37 into cryptobot.historical_data_15m
[2025-07-12T06:22:37.733+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea39 into cryptobot.historical_data_15m
[2025-07-12T06:22:37.733+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2c05fea124a4afea3b into cryptobot.historical_data_15m
[2025-07-12T06:22:37.733+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2d05fea124a4afea3d into cryptobot.historical_data_15m
[2025-07-12T06:22:37.734+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2d05fea124a4afea3f into cryptobot.historical_data_15m
[2025-07-12T06:22:37.734+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2d05fea124a4afea41 into cryptobot.historical_data_15m
[2025-07-12T06:22:37.734+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2d05fea124a4afea43 into cryptobot.historical_data_15m
[2025-07-12T06:22:37.734+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2d05fea124a4afea45 into cryptobot.historical_data_15m
[2025-07-12T06:22:37.734+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2d05fea124a4afea47 into cryptobot.historical_data_15m
[2025-07-12T06:22:37.734+0000] {subprocess.py:93} INFO - Inserted _id = 6871ff2d05fea124a4afea49 into cryptobot.historical_data_15m
